ID,Company _Account,Type,Salutation,First Name,Last Name,Phone,Mobile,Email,Street,Post Code
,Nandos,Food,,Rhys,Marchant,01633 215 205,07903 522 950,rhys.marchant@gmail.com,"73 Friars Walk Shopping Centre, Usk Plaza",NP20 1DS
,Las Iguanas,Food,,Nick,Sloane,01633 370 085,,newport@iguanas.co.uk,"75 Friars Walk Shopping Centre, Usk Plaza",NP20 1DS
,Drago lounge,Food,,Mark,Jones,01633 267 717,,drago@thelounges.co.uk,"77 Friars Walk Shopping Centre, Usk Plaza",NP20 1DS
,Zizzi,Food,,Aimee,Braines,01633 211 033,,newport@zizzi.co.uk,"Unit R1B, 79 Friars Walk Shopping Centre, Usk Plaza",NP20 1DS
,Vodafone,Services,,Mo,Khan,,07717 764 103,70124.retail@vodafone.com,Unit 10-12 Friars Walk,NP20 1DU
,Crafted,Art,,Tom,Evans,,07511 722 332,tom.evs@gmail.com,"Unit 5, Friars Walk Shopping Centre, John Frost Square",NP20 1DU
,New Look,Retail,,Marie,Harris,01633 240 220,,mizz.haz@ntlworld.com,Unit 18-20 Friars Walk Shopping Centre,NP20 1DU
,New Look,Retail,,Rebecca,Robins,01633 240 220,,,Unit 18-20 Friars Walk Shopping Centre,NP20 1DU
,Pandora,Retail,,,[not provided],01633 264 473,,uk.newport@pandorastores.net,"Unit 13, 12 Friars Walk Shopping Centre",NP20 1DU
,Clubsport Skechers Ltd,Outdoor,,Ashley,[not provided],01633 262 219,,skechersnewport@outlook.com,"Unit 15, Friars Walk Shopping Centre",NP20 1DU
,EE,Services,,Matt,Harris,,07896 166 666,newport.friarswalk.4985@ee.co.uk,Unit 18 Friars Walk,NP20 1DW
,Wagamama,Food,,Sam,Mckay,01633 481 218,,newport@wagamama.com,"Unit R9, Friars Walk Shopping Centre, Usk Plaza",NP20 1DW
,Raw Juice Bar,Food,,Kelly,Miles,01633 263940,07815 518 313,kellymiles@live.co.uk,9 Chatlist Tower Upper Dock Street,NP20 1DX
,Barnardos,Charity,,Dawn,Montgomery,01633 264 635,,,177 Upper Dock Street,NP20 1DY
,Drago Lounge,Food,,Mark,Jones,01633 267 717,,drago@thelounge.co.uk,"Unit R2, Friars Walk Mall",NP20 1EA
,Wagamamma,Food,,Sam,McKay,01633 481 218,,newport@wagamamma.com,"Friars Walk Shopping Centre, Usk Way",NP20 1EA
,Carphone Warehouse,Services,,Owen,Emmanuel,0844 372 1779,07538 156 894,emmanuo@cpwplc.com,Unit 30 Friars Walk,NP20 1EA
,Next,Retail,,Sarah,Bousie,01633 844 990,,sarahbousie@gmail.com,"Unit 1 , Friars Walk Shopping Centre, John Frost Square",NP20 1EA
,Carphone Warehouse,Services,,Owen,Emmanuel,,07538 156 894,mossa03@cpwplc.com,"Unit 30, Friars Walk Shopping Centre",NP20 1EA
,Carphone Warehouse,Services,,Ashley,Moss,,07713 474 807,,"Unit 30, Friars Walk Shopping Centre",NP20 1EA
,Profile,,,Jon,Harries,,07713 983764,jonharries1991@gmail.com,Unit 12 Kingsway Shopping Centre,NP20 1EB
,Bodycare,Beauty ,,Linda,Moulton,01633 253 715,,,Unit 27 Kingsway Shopping Centre,NP20 1EB
,Ashley Daniels,Beauty ,,Ashley,Adam-Smith,01633 262826,,info@ashleydaniels.co.uk,Unit 3 Kingsway shopping centre,NP20 1EB
,Shoe Zone,Retail,,Amanda,Blanchard,01633 842357,,,"Unit 11, Sovereign Arcade, Kingsway Shopping Centre,",NP20 1EB
,Post Office,Post Office,,Donna,Merritt,01633 253 22,,,Kingsway Shopping Centre,NP20 1EB
,VIP,Smoking,,Dan,Lloyd,,07809 550716,,Kingsway Shopping Centre,NP20 1EB
,Boswell Coffee,Food,,Sam,Mason,01633 213 007,,pan.venton@gmail.com,"Units 8 A, B, C Kingsway Centre",NP20 1EB
,F Hinds,Jewellers,,Rebecca,Porch,01633 258 244,,,6-7 Kingsway Shopping Centre,NP20 1EB
,Profile,,,Vicky,Pumford,01633 250 451,,vickyprofile@outlook.com,Unit 10-12 Kingsway Shopping Centre,NP20 1EB
,Poundland Plc,Retail,,Lee,Mitchell,01633 252 339,,,21-22 Kingsway shopping Centre,NP20 1EB
,Newport Post Office,Post Office,,Donna,Herritty,01633 247 001,,,"Unit 19, Sovereign Arcade, Kingsway Shopping Centre",NP20 1EB
,Ashley Daniels,Beauty ,,Ashley,Adam-Smith,01633 262 826,07966 545 133,info@ashleydaniels.co.uk,"Unit 3, Kingsway Shopping Centre",NP20 1EB
,The Fragrance Shop,Beauty ,,Lorraine,Johnson,01633 264 366,,306.newport@tfsstores.com,"Unit SU5, Kingsway Shopping Centre",NP20 1EB
,Warren James - Jewellers,Jewellers,,Danielle,[not provided],01633 244 013,,,"Unit 4, kingsway Shopping Centre",NP20 1EB
,Warren James - Jewellers,Jewellers,,Anna,[not provided],01633 244 013,,,"Unit 4, kingsway Shopping Centre",NP20 1EB
,B&M,Retail,,David,Mundy,01633 215143,,,Unit 24 Kingsway Shopping Centre,NP20 1ED
,Savers,Retail,,Andy,Bell,,077400 50935,,Kingsway Shopping Centre,NP20 1ED
,Perfect Home,Home,,Ricky,Gamble,01633 213 630,,newportstore@perfecthomestores.co.uk,33  Sovereign Arcade Kingsway Shopping Centre,NP20 1ED
,Sainsburys,Groceries,,Kane,Corcoron,01633 203 500,,manager.newportjohnfrostsquare@sainsburys.co.uk,Unit 35 Sovereign Arcade,NP20 1ED
,Savers Health &Beauty PLC,Beauty ,,Andy,Bell,01633 257 015,,,"50-52 Sovereign Arcade, Kingsway Shopping Centre",NP20 1ED
,Perfect Home,Home,,Janice,Newsway,01633 213 260,,newportstore@perfecthomestore.co.uk,"33 Sovereign Arcade, Kingsway Shopping Centre",NP20 1ED
,The New La Hore,,,,[not provided],01633 265 665,,,145 Lower Dock Street,NP20 1EE
,F Hinds,Jewellers,,Rebecca,Porch,01633 258 244,,,6-7 Kingsway Shopping Centre,NP20 1EP
,Skylite luggage,Retail,,Shani,Kendell,01633 250095,,rendell.shania@gmail.com,Kingsway Shopping Centre,NP20 1EW
,Euro Gallery,Art,,Paul,Jones,0800 2289017,,sky601@sky.com,Unit 17 Kingsway Shopping Centre,NP20 1EW
,Pep&Co,Food,,Josh,Robins,0330 051660,,,Unit 20 Kingsway Shopping Centre,NP20 1EW
,Peacocks,Retail,,Lauren,Bishop,01633 256 066,,,Unit 13 Kingsway Shopping Centre,NP20 1EW
,Euro Change,Money,,Neil,Matterson,,07515 563 987,neil.matterson@eurochange.com,Kingsway Shopping Centre,NP20 1EW
,Sainsburys,Groceries,,Phil,Jupp,01633 203500,,,Unit 35 Kingsway Shopping Centre,NP20 1EW
,Virgin,Services,,Shane,Geogmegan,01633 841 055,,,Unit 29 Kingsway Shopping Centre,NP20 1EW
,Skylite Luggage,Retail,,Shani,Rendell,01633 250 095,0749 374 5443,shani@skylightluggage.co.uk,Unit 18 Kings Way Centre,NP20 1EW
,Peacocks,Retail,,Lauren,Bishop,01633 256 066,,laurenbishop2004@hotmail.com,"Unit 31, Kingsway Shopping Centre",NP20 1EW
,Peacocks,Retail,,Caroline,Parry,01633 256 066,,,"Unit 31, Kingsway Shopping Centre",NP20 1EW
,Pep and Co,Food,,Joshua,Robins,0208 1732 051,,newport@pepandco.com,28 Kingsway Shopping Centre,NP20 1EW
,Tiger,Retail,,Hollie,Emerton,01633 265 825,,newport@tigerstores.co.uk,Unit 1 Friars Walk,NP20 1EY
,The Carpenters,Building,,Jay,Peplow,01633 265 444,,carpentersnewport@btinternet.com,9 High Street,NP20 1FQ
,McCann's Rock N Ale Bar,Pub,,Amy,McCan,01633 253 648,07592 238 194,,High Street,NP20 1FQ
,Carpenters Arms,Building,,,[not provided],01633 265 444,,,9 High Street,NP20 1FQ
,McCann's Rock n Ale Bar,Pub,,Amy,McCann,,075922 38194,amyfran53@gmail.com,10 High Street,NP20 1FQ
,O.S.S.S.,Market,,Mike,Ford,,07790 734 977,,Market Arcade,NP20 1FS
,Claudio's,Food,,Claudio,Martini,,07729 541 836,,High Street,NP20 1FS
,The Woodstore,Building,,,[not provided],01633 856 622,,,Market Arcade,NP20 1FS
,Kev's Lucky 7 Tattoo,Tattoo,,Kevin,Lloyd,,07789 580 342,,1 Market Arcade,NP20 1FS
,Popadoms,Food,,Was,[not provided],01633 262 557,,,11 High Street,NP20 1FS
,The Cross Keys,Services,,Jason,Dowding,01633 264 373,,jasondowding@googlemail.com,9 Market Street,NP20 1FU
,The Lounge,Leisure,,Pamela,[not provided],01633 213161,07957 683 527,,6 Market Street,NP20 1FU
,Mad Hatters,Food,,Karen,[not provided],,07944 120 738,,12 High Street,NP20 1FW
,New Pathways,Charity,,Jackie,Stamp,01633 250 205,,jackie@newpathways.org.uk,20-21 High Street,NP20 1FW
,Anglian,Home,,Adam,Polawn,01633 212 1122,07791 976615,newportshowroom@angliangroup.com,17-18 High Street,NP20 1FW
,Cupcakes and Cocktails,Food,,,[not provided],,07738 298 988,,12-13 High Street,NP20 1FW
,La Bamba,Food,,Alan,Winch,01633 267 007,,admin@celticpaints.co.uk,19 High Street,NP20 1FW
,Pretentions Burgers,Food,,David,Whittaker,01633 547 979,,davidcraigwhittaker@gmail.com,16 High Street,NP20 1FW
,Urban Tap House Newport,Home,,Chelsea,Enness,01633 252 538,,chelsea@tinyrebel.co.uk,22-23 High Street,NP20 1FX
,Urban Top House,Home,,Chelsea Ennes,[not provided],01633 252 538,,urbantapnewport@tinyrebel.co.uk,22-24 High Street,NP20 1FX
,The Newsagent,Newsagent,,Jonathan,Powell,01633 904 428,,thekiosk@hotmail.co.uk,25 High Street,NP20 1FX
,Careers Wales,Management,,Richard,Jones,,07890 274 863,,46-47 High Street,NP20 1GA
,VJ Nails and Beauty,Beaty,,Van,Tran,01633 222 644,,,48 High Street,NP20 1GA
,Ye Old Murenger House,Food,,,Mrs Jones,01633 263 977,,,52-53 High Street,NP20 1GA
,Slipping Jimmy's,Food,,Steve,Renolds,,07503 748 040,,51-52 High Street,NP20 1GA
,Careers Wales,Management,,Richard,Jones,0800 028 4844,07818 701 701,richard.jones@careerswales.com,46-47 High Street,NP20 1GA
,Slipping Jimmys Bar and Grill,Food,,Jobe,Reynolds,,075655 44334,jobe@slippingjimmys.co.uk,51-52 High Street,NP20 1GA
,Greyhound,Pub,,John,Pisani,01663 267 988,,marljohn@hotmail.co.uk,49 High Street,NP20 1GA
,William Hill,Gambling,,Angela,Jackson,0800 085 6296,,,51A High Street,NP20 1GB
,Clive Mortimer Goldsmith,Jewellers,,Hilary,Mortimer,01633 267 941,,,7 Newport Arcade,NP20 1GD
,The Pot Café,Food,,A,Roberts,01633 267 755,,,3-4 High Street,NP20 1GD
,Celtic Vapoures,eCig,,Andrew,Jackson,01633 267 839,,iandrew.jackson93@gmail.com,Newport Arcade,NP20 1GD
,Nuthouse,Beauty ,,Sara,Gallagher,01633 264 238,,,2 High Street,NP20 1GD
,Decadence,Beauty ,,Ant,Chivers,01633 546 420,,,9 Newport Arcade,NP20 1GD
,Elegance and Decudence,Beauty ,,Karl,Brown,01633 546 420,,purchasing@eleganceanddecadence.com,9 Newport Arcade,NP20 1GD
,Mr Brogues,Services,,Jason,Brown,01633 250 765,,jcobbler@ymail.com,1 Newport Arcade,NP20 1GD
,The Pot,Food,,Angela,Roberts,01633 267 755,,,3-4 Newport Arcade,NP20 1GD
,Freestyle,Outdoor,,,Darren,01633 213 129,,grimfreestyle@yahoo.com,Unit 8 Newport Arcade,NP20 1GD
,Clive Mortimer - Jewellers,Jewellers,,,[not provided],01633 267 947,,,7 Newport Arcade,NP20 1GD
,Nuthouse,Food,,,[not provided],01633 264 238,,,"Newport Arcade, 2 High Street",NP20 1GD
,Hogarths Newport,Food,,Steven,Dargavel,01633 212 777,,,43-44 High Street,NP20 1GF
,Subway,Food,,Adam,Brunt,01633 213 355,,adam.brunt@spin-restaurants.co.uk,40a High Street,NP20 1GF
,Stardust Amusements,Entertainment,,,[not provided],01633 266741,,,39-40 High Street,NP20 1GF
,McDonalds,Food,,Louise,Powell,01633 244 947,,00236@uk.mcd.com,35 High Street,NP20 1GF
,Bibi Bags,Retail,,Sahra,Hassan,01633 245 936,,sahra13@hotmail.co.uk,28 High Street,NP20 1GH
,Betfred,Gambling,,Keith,[not provided],01925 734 779,,,29 High Street,NP20 1GH
,Optic Shop,Services,Mr.,Keith,Harris,01633 243 543,,keithharris14@gmail.com,27a High Street,NP20 1GH
,Cellys Hairdressers,Beauty ,,,[not provided],01633 266 944,,newport01@cellys.co.uk,27a High Street,NP20 1GH
,Arnolds Lighting,Services,,Nigel,Merrett,01633 266607,,nigel@arnolds-electrical.com,Skinner Lane,NP20 1GY
,John Payne,Estate Agents,,John,Payne,01633 665 665,,,8 Skinner Street,NP20 1GY
,Ramji & Boomers,Food,,,[not provided],01633 252 206,,,10 Skinner Street,NP20 1GY
,Cash Brokers,Money,,A,Hamilton,01633 253 749,,,15 Skinner Street,NP20 1HA
,Hello Hello,Services,,Mr,Hussain,01633 548 030,,,29 Skinner Street,NP20 1HB
,Ringmaster,Jewellers,,Shabaz,[not provided],01633 546 570,,,29 Skinner Street,NP20 1HB
,USA Chicken,Food,,Ali,Akyuz,01633 252 555,,,28 Skinner Street,NP20 1HB
,Cedars Café,Food,,Jo,Roberts,01633 842 033,,robe50@hotmail.com,30 Skinner Street,NP20 1HB
,What A Party,Entertainment,,Dawn,Pitman,01633 841 899,,whatnewport@gmail.com,4-5 Commercial Street,NP20 1HE
,CEX Newport,Entertainment,,Padraig,Balch,01633 216 257,07583 075477,pbalch@webuy.com,19-20 Commercial Street,NP20 1HF
,Riverfront Theatre,Entertainment,,Jason,Small,01633 656 757,,jason.small@newportlive.co.uk,Kingsway,NP20 1HG
,Mission Burrito,Food,,Lloyd,Cook,01633 215 475,,newport@missionburrito.co.uk,"57 Friars Walk, Friars Walk Shopping Centre",NP20 1HG
,Le Bistrol Pierre,Food,,Nathan,Williams,01633 744 300,,newport@pierre94.co.uk,"71 Friars Walk Shopping Centre, Usk Way",NP20 1HG
,Case Up Mobiles,Services,,,Adam,01633 549 755,07424 623 491,,39 Commercial Street,NP20 1HP
,Thorntons PLC,Jewellers,,,[not provided],01633 215 308,,,38 Commercial Street,NP20 1HP
,Anna Sara Bridal,Services,,Melanie,Bishop,01633 546 464,,melaniemarrietaylor@gmail.com,37 Commercial Street,NP20 1HP
,La Belle Femme Boutique,Beauty ,,Tracey,Stokes Whiting,01633 255 451,,stokeswhiting@btinternet.com,35 Commercial Street,NP20 1HP
,Dolman Theatre,Entertainment,,Lisa,Aston-Griffiths,01633 263670,,manager@dolmantheatre.co.uk,"Kingsway Shopping Centre, Emlyn Square",NP20 1HY
,Wilkinsons,Retail,,Paul,Scholfield,01633 255482,,man253@wilko.com,"Unit 20, Kingsway Shopping Centre",NP20 1HY
,Poundland,Retail,,Leigh,Mitchell,01633 252339,,,Unit 21-22 Kingsway Shopping Centre,NP20 1HY
,Claires,Retail,,Chloe,Davies,01633 250067,,,Unit 11c Kingsway Shopping Centre,NP20 1HY
,Boswells,Retail,,,[not provided],01633 213 007,,,Kingsway Shopping Centre,NP20 1HY
,Claires,Retail,,Lisa,Baskenville,01633 250 067,,storecustomerservices@claires.co.uk,Unit 10 Kingsway Centre,NP20 1HY
,Wilko,Retail,,Paul,Scholefield,01633 255 482,,man253@wilko.com,"Unit 20, Kingsway Shopping Centre",NP20 1HY
,Wilko,Retail,,Linda,Kemp,01633 255 482,,,"Unit 20, Kingsway Shopping Centre",NP20 1HY
,VIP e-cig,eCig,,Dan,Lloyd,,07927 099 104,,"Unit 20, Kingsway Shopping Centre",NP20 1HY
,H&M,Retail,,Leann,Griffin,01633 591 030,,leanntasha@outlook.com,Unit 6 Friars Walk,NP20 1HZ
,Argos,Retail,,Phil,Holley,01633 844 951,,philip.holley@argos.co.uk,12-20 Stow Hill,NP20 1JB
,Cole & Gibbs,Jewellers,,Rob,Gibbs,01633 252 833,,,"Majestic Buildings, 14, Stow Hill, Newport",NP20 1JB
,Corals,Gambling,,Rob,Howard,01633 262 623,,,Unit 6-9 Stow Hill,NP20 1JB
,Pen & Wig,Pub,,Simone,Thorley,01633 666 818,,penawig@aol.com,22-24 Stow Hill,NP20 1JD
,Baneswell Social Club,Entertainment,,Nick,Portman,01633 904 059,07799 716 862,nick.portman68@yahoo.co.uk,Havelock Street,NP20 1JG
,Poundworld,Retail,,Rob,Maggs,01633 214 004,07827 501928,store.343@poundworldretail.co.uk,Unit 4-7 Westgate,NP20 1JL
,Starbucks,Food,,Linda,Evans,01633 254 744,,,7a Westgate Buildings,NP20 1JL
,Card Factory,Art,,,[not provided],01633 211 964,,,172 Commercial Street,NP20 1JN
,H-Samuel,Jewellers,,Phil,Carpenter,01633 251 081,,philcarpenter38@hotmail.com,173 Commercial Street,NP20 1JN
,Moments,Books,,Sharon,James,,07817 150 331,james.sharon1@sky.com,164 Commercial Street,NP20 1JN
,The Works,Books,,Rachel,Burden,01633 840 241,,,171 Commercial Street,NP20 1JN
,Waterstones,Books,,,[not provided],01633 223 977,,manager.newport@waterstones.com,159 Commercial Street,NP20 1JQ
,Friends of St Annes Hospice,Medical,,Laura,Buchan,01633 262 869,,,152 Commercial Street,NP20 1JQ
,Poundland,Retail,,Paul,[not provided],01633 548 497,,poos.newport@poundland.co.uk,159 Commercial Street,NP20 1JQ
,Ramsdens,Finance,,,[not provided],01633 840 715,,,147 Commercial Street,NP20 1LN
,Bon Marche,Retail,,Gail,Williams,01633 843651,,,"138-139 Commercial Street, Town Centre, Newport",NP20 1LN
,Colonial Candles,Retail,,Katie,Jackson,01633 266 379,,newport@magpieholdings.co.uk,146 Commercial Street,NP20 1LN
,The Money Shop,Money,,,[not provided],0330 221 9516,,,57 Commercial Street,NP20 1LP
,Shaws The Drapers,Retail,,,[not provided],01633 211 533,,,53/54 Commercial Street,NP20 1LP
,Shoe Zone,Retail,,,[not provided],01633 243 911,,,51 Commercial Street,NP20 1LP
,Blue Banana Newport,Food,,,[not provided],01633 244 450,,,50 Commercial Street,NP20 1LP
,Deichmann Shoes,Retail,,Jenny,Sanderson,01633 842 769,07968 553 630,,48 Commercial Street,NP20 1LP
,Coffee #1,Food,,Jon,White,01633 255 008,,,47A Commercial Street,NP20 1LP
,Game,Entertainment,,Steve,Davies,01633 212 583,,3018@stores.game.co.uk,46 Commercial Street,NP20 1LP
,Caffè Nero,Food,,Keely,Mathias,01633 222 030,,keelymathias@hotmail.com,44 Commercial Street,NP20 1LP
,Ann Summers,Retail,,Amanda,Evans,01633 548 085,,075@annsummers.com,42C Commercial Street,NP20 1LP
,Coffee#1,Food,,Jonathan,White,01633 255 008,,snow_star2k4@hotmail.com,47a Commercial Street,NP20 1LP
,Deichmann Shoes,Retail,,,[not provided],01633 842 769,,,48 Commercial Street,NP20 1LP
,Shaws The Drapers,Retail,,,[not provided],01633 211 533,,,53/54 Commercial Street,NP20 1LP
,Blue Banana,Food,,Emma,Rees,01633 244 450,,bbnewport97@gmail.com,50 Commercial Street,NP20 1LP
,Shoe Zone,Retail,,Amanda,Blanchard,01633 243 911,,newport@shoezone.com,51 Commercial Street,NP20 1LP
,Game Newport,Entertainment,,Steve,Davies,01633 212 583,,3018@stores.game.co.uk,46 Commercial Road,NP20 1LP
,Ann Summers,Retail,,Amanda,Evans,01633 548 085,,075@annsummers.co.uk,42 Commercial Street,NP20 1LP
,Thorntons,Food,,Angie,Davies,01633 215 308,,angie_davies@msn.com,38 Commercial Street,NP20 1LP
,Cash Generator Newport,Money,,Milze,John,01633 677 868,,newport@stereo.cashgenerator.co.uk,67 Commercial Street,NP20 1LQ
,Jack News,Newsagent,,,[not provided],01633 211622,,,65 Commercial Street,NP20 1LQ
,Switch E-Cig,eCig,,Andy,Hilton,01633 960 661,,newportcitycentre@switchecig.co.uk,64 Commercial Street,NP20 1LQ
,Coffee & Crumbs,Food,,,[not provided],01633 212 535,,coffeeandcrumbs88@hotmail.com,60A Commercial Street,NP20 1LQ
,R'evage,Building,,,[not provided],,,,61 Commercial Street,NP20 1LQ
,Zam Zam,Food,,Hewa,Mani,,07492 285 042,,58 Commercial Street,NP20 1LQ
,British Red Cross Society,Charity,,,[not provided],01633 213 764,,,55 Commercial Street,NP20 1LQ
,Cash Generator,Money,,Mike,[not provided],01633 244 160,,newport@stores.cashgenerator.co.uk,67 Commercial Street,NP20 1LQ
,Switch E-Cig,eCig,,Andy,Hutton,01633 960 661,,newportcitycentre@switchecig.co.uk,64 Commercial Street,NP20 1LQ
,JP Stores,Retail,,Alex,Pisani,01633 213 724,,jpstores@tiscali.co.uk,80 Commercial Street,NP20 1LR
,USA Nails,Beauty ,,,[not provided],01633 256 663,,,59 Commercial Street,NP20 1LR
,The Talisman,Food,,Paul,James,01633 264 914,07733 767471,,59 Commercial Street,NP20 1LR
,Golden Fish Bar,Pub,,Jaffar,[not provided],01633 259 518,,,79 Commercial Street,NP20 1LR
,Coffee Thirst,food,,Ahmed,Al-Yufrusi,01633 666 336,,coffeethirstnewport@gmail.com,93 Commercial Street,NP20 1LS
,City Treasures,Jewellers,,Claire,McAtee,01633 266 028,,,88 Commercial Street,NP20 1LS
,Main Street Store,Market,,Jitander,Singh,01633 238 861,,,87B Commercial Street,NP20 1LS
,Newport Martial Arts,Sport,,(Master) Everton,Smith,01633 840 728,,master.smith@martialartsnewport.co.uk,85 Commercial Street,NP20 1LS
,Le Raj,Food,,M,Khan,01633 308 883,,leraj@newport.co.uk,84 Commercial Street,NP20 1LS
,The Tom Toya Lewis,Pub,,Sean,Steadman,01633 245 030,,,108-109 Commercial Streetq,NP20 1LW
,Marks & Spencer,Services,,Craig,Griffths,01633 479 106,,newportrp.selling@marks-and-spencer.com,Friars Walk Shopping Centre,NP20 1PA
,Lifestyle Express,Beauty ,,M,Iqbal,01633 547 877,,,18-19 Upper Dock Street,NP20 1PH
,WHSmith,Retail,,Jackie,Mcgetts,01633 259 416,,5252.mgr@whsmith.co.uk,166-167 Commercial Street,NP20 1QY
,Sports Direct,Retail,,Dario,Cellupica,0343 777 1325,,dcellupica@icloud.com,9-12 Commercial Street,NP20 1SJ
,Harding Evans Solicitors,Finance,,Zep,Bellania,01633 244 233,,enquire@hevans.com,"Queens Chambers, 2 North Street",NP20 1TE
,Newport Leisure Centre,Leisure,,Carl,Williams,01633 656 757,07812 734 877,newportcentre@newportlive.co.uk,1 Kingsway,NP20 1UH
,Newport Leisure Centre,Leisure,,Victoria,Baker,01633 841 621,,,1 Kingsway,NP20 1UH
,Wildings,Building,Mr,H,Powell,01633 262 861,,h.powell@wildingsltd.com,165 Commercial Street,NP20 1UL
,Burger King,food,,Damian,[not provided],01633 257 550,,bknewport@btconnect.com,25/26 Commercial Street,NP20 1YD
,X-Clusive Jewellery,Jewellers,,Julie,[not provided],01633 243593,,,6 and 7 W Market St,NP20 2AU
,Tesco,Groceries,,Gavin,Price,,07718 532518,,"14 Cambrian Rd, Newport",NP20 4AB
,Burlesque,Beauty ,,Stu,Nicolson,01633 251 830,,,"16-18 Cambrian Rd, Newport",NP20 4AB
